2020-11-24 06:16:49 [INFO]:    Epoch       Batch       box      conf        id     total  nTargets      time
================================================================================
dataset summary
OrderedDict([('mot17', 547.0)])
total # identities: 548
start index
OrderedDict([('mot17', 0)])
================================================================================
2020-11-24 06:31:36 [INFO]:     1/29   3680/5315    0.0267     0.095      10.4     -6.47      20.2     0.084
2020-11-24 06:31:40 [INFO]:     1/29   3720/5315    0.0267    0.0951      10.4     -6.46      20.2    0.0739
2020-11-24 06:31:43 [INFO]:     1/29   3760/5315    0.0267     0.095      10.4     -6.47      20.2    0.0798
2020-11-24 06:31:47 [INFO]:     1/29   3800/5315    0.0267    0.0949      10.4     -6.47      20.1    0.0878
2020-11-24 06:31:50 [INFO]:     1/29   3840/5315    0.0267    0.0947      10.4     -6.47      20.1    0.0838
2020-11-24 06:31:54 [INFO]:     1/29   3880/5315    0.0266    0.0946      10.4     -6.48      20.1     0.115
2020-11-24 06:31:58 [INFO]:     1/29   3920/5315    0.0266    0.0944      10.4     -6.49      20.1    0.0774
2020-11-24 06:32:01 [INFO]:     1/29   3960/5315    0.0266    0.0942      10.3     -6.49      20.1    0.0987
2020-11-24 06:32:05 [INFO]:     1/29   4000/5315    0.0266    0.0943      10.3      -6.5      20.1    0.0938
2020-11-24 06:32:09 [INFO]:     1/29   4040/5315    0.0265    0.0943      10.3      -6.5      20.1    0.0773
2020-11-24 06:32:12 [INFO]:     1/29   4080/5315    0.0265    0.0941      10.3     -6.51      20.1    0.0747
2020-11-24 06:32:16 [INFO]:     1/29   4120/5315    0.0265     0.094      10.3     -6.51      20.1    0.0786
2020-11-24 06:32:19 [INFO]:     1/29   4160/5315    0.0264    0.0939      10.3     -6.52      20.1    0.0897
2020-11-24 06:32:23 [INFO]:     1/29   4200/5315    0.0264    0.0938      10.3     -6.52      20.1    0.0888
